time,[0],[1],[2],[3],[4],[5],[6],[7]
181,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
182,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
183,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
184,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
185,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
186,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
187,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
188,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
189,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
190,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
191,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
192,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
193,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
194,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
195,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
196,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
197,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
198,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
199,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
200,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
201,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
202,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
